"run_id","benchmark_type","security_mode","baseline_name","sweep_name","sweep_variable","sweep_value","trial_index","trial_count","broker_count","partitions","replication_factor","min_insync_replicas","num_records","record_size_bytes","throughput_limit_records_per_sec","producer_count","consumer_count","batch_size","linger_ms","acks","compression_type","records_sent","records_consumed","throughput_records_per_sec","throughput_mb_per_sec","data_consumed_mb","avg_latency_ms","max_latency_ms","rebalance_time_ms","fetch_time_ms","producer_count_observed","producer_throughput_records_per_sec_min","producer_throughput_records_per_sec_max","producer_avg_latency_ms_min","producer_avg_latency_ms_max","interval_summary_count","interval_avg_latency_ms_p95","interval_avg_latency_ms_p99","interval_max_latency_ms_p95","interval_max_latency_ms_p99","telemetry_host_count","benchmark_client_cpu_percent_mean","broker_cpu_percent_mean","broker_cpu_percent_max_mean","benchmark_client_memory_used_percent_mean","broker_memory_used_percent_mean","benchmark_client_network_rx_bytes_delta","benchmark_client_network_tx_bytes_delta","broker_network_rx_bytes_delta_mean","broker_network_tx_bytes_delta_mean","broker_network_rx_bytes_delta_total","broker_network_tx_bytes_delta_total","benchmark_client_disk_read_sectors_delta","benchmark_client_disk_write_sectors_delta","broker_disk_read_sectors_delta_mean","broker_disk_write_sectors_delta_mean","broker_disk_read_sectors_delta_total","broker_disk_write_sectors_delta_total"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial1","1","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","54674.6856","53.3932","97.6563","null","null","653.0","1176.0","null","null","null","null","null","null","null","null","null","null","6","29.773083333333332","18.03675744663751","41.778","10.64775","15.262706153021657","109240993","108952133","66764363.0","67469477.8","333821815","337347389","0","26904","544.0","162211.2","2720","811056"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial2","2","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","41841.0042","40.8604","97.6563","null","null","641.0","1749.0","null","null","null","null","null","null","null","null","null","null","6","30.34349593495935","17.481586852601016","40.672000000000004","10.497886178861789","15.485180017026526","109169597","108917265","66741824.0","67437433.6","333709120","337187168","0","28080","3.2","163180.8","16","815904"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-complz4-trial3","3","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","lz4","null","100000.0","50658.5613","49.4713","97.6563","null","null","731.0","1243.0","null","null","null","null","null","null","null","null","null","null","6","29.117190082644626","17.583682926914744","38.898","10.492809917355373","15.612338229840953","109329956","108937489","66765405.6","67491118.0","333827028","337455590","0","46272","11.2","167035.2","56","835176"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial1","1","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","48007.6812","46.8825","97.6563","null","null","636.0","1447.0","null","null","null","null","null","null","null","null","null","null","6","28.401417322834646","23.939210467190854","55.962","10.290393700787403","13.781476593640079","108992943","108815619","66596940.4","67272970.8","332984702","336364854","0","37528","92.8","162755.2","464","813776"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial2","2","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","62344.1397","60.8829","97.6563","null","null","664.0","940.0","null","null","null","null","null","null","null","null","null","null","6","28.556190476190476","20.580647008101483","48.462","10.361666666666666","14.559823528608195","109051039","108724719","66638223.0","67354058.6","333191115","336770293","0","40808","456.0","164547.2","2280","822736"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons1-compnone-trial3","3","3","5","6","3","3","100000","1024","null","1","1","16384","5","all","none","null","100000.0","62735.2572","61.2649","97.6563","null","null","695.0","899.0","null","null","null","null","null","null","null","null","null","null","6","27.84289256198347","17.43877301114062","43.092","10.371239669421488","14.961976907784981","109004151","108760512","66648169.2","67348174.0","333240846","336740870","0","30384","3.2","164406.4","16","822032"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial1","1","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","44286.9796","43.249","97.6563","null","null","635.0","1623.0","null","null","null","null","null","null","null","null","null","null","6","29.24888","16.801545531762603","37.392","10.4436","16.211014692918006","109260465","108904486","66752576.8","67471574.6","333762884","337357873","0","31752","0.0","168208.0","0","841040"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial2","2","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","53995.6803","52.7302","97.6563","null","null","674.0","1178.0","null","null","null","null","null","null","null","null","null","null","6","28.638203125","17.02116640257225","34.958","10.4534375","16.289841775176264","109335468","108920315","66782328.0","67515423.4","333911640","337577117","0","28448","0.0","166520.0","0","832600"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-complz4-trial3","3","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","lz4","null","100000.0","53333.3333","52.0833","97.6563","null","null","705.0","1170.0","null","null","null","null","null","null","null","null","null","null","6","29.153709677419354","17.061640503301604","34.64","10.551854838709678","16.34417563144624","109240331","108928718","66773056.0","67486270.4","333865280","337431352","0","30256","0.0","166392.0","0","831960"
"consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","consumer","plaintext","consumer-security-slice","consumer-security-slice","factorial_config","consumer-security-slice-plaintext-b5-rf3-isr3-msg1024-tps1000-batch16384-acksall-prod1-cons6-compnone-trial1","1","3","5","6","3","3","100000","1024","null","1","6","16384","5","all","none","null","100000.0","46533.2713","45.4426","97.6563","null","null","725.0","1424.0","null","null","null","null","null","null","null","null","null","null","6","28.437154471544716","17.46884202762663","37.592","10.416666666666666","15.702551701435095","109037085","108715473","66637084.6","67350418.4","333185423","336752092","0","30688","0.0","165147.2","0","825736"
